Brightness Level,R,G,B
-1.0,1566.08350035785,1564.4835247719125,1563.2112154189854
0.0,1776.701656393809,2403.221411383642,1849.2726038266533
1.0,2373.3402235057256,4404.239644925889,2963.725735348218
