Brightness Level,Color,Intensity
-1.0,R,1501.469691780822
-1.0,R,1463.3157534246575
-1.0,R,1445.3609589041096
-1.0,R,1777.5246575342467
-1.0,R,1481.2705479452054
-1.0,R,1427.4061643835616
-1.0,R,1555.3340753424657
-1.0,R,1483.514897260274
-1.0,R,1490.2479452054795
-1.0,R,1537.3792808219177
-1.0,R,1422.9174657534247
-1.0,R,1465.560102739726
-1.0,R,1512.6914383561643
-1.0,R,1447.6053082191781
-1.0,R,1476.7818493150685
-1.0,R,1557.5784246575342
-1.0,R,1503.7140410958905
-1.0,R,1532.8905821917808
-1.0,R,1400.4739726027397
-1.0,R,1456.582705479452
-1.0,R,1488.003595890411
-1.0,R,1503.7140410958905
-1.0,R,1431.8948630136986
-1.0,R,1512.6914383561643
-1.0,R,1535.1349315068494
-1.0,R,1463.3157534246575
-1.0,R,1535.1349315068494
-1.0,R,1449.8496575342465
-1.0,R,2078.267465753425
-1.0,R,1488.003595890411
-1.0,R,1593.48801369863
-1.0,R,1501.469691780822
-1.0,R,1588.9993150684932
-1.0,R,1714.6828767123288
-1.0,R,1467.8044520547944
-1.0,R,1530.6462328767122
-1.0,R,1593.48801369863
-1.0,R,1510.447089041096
-1.0,R,1483.514897260274
-1.0,R,1521.6688356164384
-1.0,R,1508.2027397260274
-1.0,R,1649.5967465753424
-1.0,R,1474.5375
-1.0,R,1496.980993150685
-1.0,R,1557.5784246575342
-1.0,R,1521.6688356164384
-1.0,R,1761.814212328767
-1.0,R,1523.9131849315067
-1.0,R,1472.2931506849316
-1.0,R,1541.867979452055
-1.0,R,1555.3340753424657
-1.0,R,1512.6914383561643
-1.0,R,1476.7818493150685
-1.0,R,1456.582705479452
-1.0,R,1503.7140410958905
-1.0,R,1382.5191780821917
-1.0,R,1485.7592465753426
-1.0,R,1517.1801369863015
-1.0,R,1492.492294520548
-1.0,R,1537.3792808219177
-1.0,R,1447.6053082191781
-1.0,R,1470.048801369863
-1.0,R,1461.0714041095891
-1.0,R,1467.8044520547944
-1.0,R,1517.1801369863015
-1.0,R,1429.6505136986302
-1.0,R,1488.003595890411
-1.0,R,1447.6053082191781
-1.0,R,1490.2479452054795
-1.0,R,1476.7818493150685
-1.0,R,1465.560102739726
-1.0,R,1418.4287671232876
-1.0,R,1501.469691780822
-1.0,R,1541.867979452055
-1.0,R,1440.8722602739726
-1.0,R,1458.8270547945206
-1.0,R,1517.1801369863015
-1.0,R,1494.7366438356164
-1.0,R,1425.161815068493
-1.0,R,1501.469691780822
-1.0,R,1445.3609589041096
-1.0,R,1512.6914383561643
-1.0,R,1580.021917808219
-1.0,R,1445.3609589041096
-1.0,R,1514.935787671233
-1.0,R,1438.627910958904
-1.0,R,1508.2027397260274
-1.0,R,1510.447089041096
-1.0,R,1470.048801369863
-1.0,R,1413.9400684931506
-1.0,R,1443.116609589041
-1.0,R,1530.6462328767122
-1.0,R,1629.397602739726
-1.0,R,1418.4287671232876
-1.0,R,1476.7818493150685
-1.0,R,1566.5558219178083
-1.0,R,1434.1392123287671
-1.0,R,1380.2748287671234
-1.0,R,1501.469691780822
-1.0,R,1494.7366438356164
-1.0,R,1496.980993150685
-1.0,R,1490.2479452054795
-1.0,R,1725.9046232876713
-1.0,R,1537.3792808219177
-1.0,R,1546.3566780821918
-1.0,R,1418.4287671232876
-1.0,R,1546.3566780821918
-1.0,R,1485.7592465753426
-1.0,R,1508.2027397260274
-1.0,R,1580.021917808219
-1.0,R,1593.48801369863
-1.0,R,1400.4739726027397
-1.0,R,1501.469691780822
-1.0,R,1470.048801369863
-1.0,R,1474.5375
-1.0,R,1492.492294520548
-1.0,R,1539.6236301369863
-1.0,R,1588.9993150684932
-1.0,R,1447.6053082191781
-1.0,R,1595.7323630136987
-1.0,R,1530.6462328767122
-1.0,R,1461.0714041095891
-1.0,R,1440.8722602739726
-1.0,R,1413.9400684931506
-1.0,R,1539.6236301369863
-1.0,R,1562.0671232876712
-1.0,R,1458.8270547945206
-1.0,R,1496.980993150685
-1.0,R,1528.401883561644
-1.0,R,1505.9583904109588
-1.0,R,1537.3792808219177
-1.0,R,1548.6010273972602
-1.0,R,1503.7140410958905
-1.0,R,1564.3114726027397
-1.0,R,1633.886301369863
-1.0,R,1539.6236301369863
-1.0,R,1606.954109589041
-1.0,R,1447.6053082191781
-1.0,R,1452.094006849315
-1.0,R,1539.6236301369863
-1.0,R,1420.6731164383561
-1.0,R,1465.560102739726
-1.0,R,1537.3792808219177
-1.0,R,1528.401883561644
-1.0,R,1463.3157534246575
-1.0,R,1440.8722602739726
-1.0,R,1481.2705479452054
-1.0,R,1609.1984589041097
-1.0,R,1562.0671232876712
-1.0,R,1416.1844178082192
-1.0,R,1420.6731164383561
-1.0,R,1503.7140410958905
-1.0,R,1413.9400684931506
-1.0,R,1389.2522260273972
-1.0,R,1465.560102739726
-1.0,R,1508.2027397260274
-1.0,R,1571.0445205479452
-1.0,R,1479.026198630137
-1.0,R,1496.980993150685
-1.0,R,1463.3157534246575
-1.0,R,1618.1758561643835
-1.0,R,1566.5558219178083
-1.0,R,1568.8001712328767
-1.0,R,1532.8905821917808
-1.0,R,1481.2705479452054
-1.0,R,1485.7592465753426
-1.0,R,1364.5643835616438
-1.0,R,1559.8227739726028
-1.0,R,1548.6010273972602
-1.0,R,1472.2931506849316
-1.0,R,1517.1801369863015
-1.0,R,1499.2253424657533
-1.0,R,1557.5784246575342
-1.0,R,1503.7140410958905
-1.0,R,1517.1801369863015
-1.0,R,1483.514897260274
-1.0,R,1553.0897260273973
-1.0,R,1463.3157534246575
-1.0,R,1514.935787671233
-1.0,R,1537.3792808219177
-1.0,R,1541.867979452055
-1.0,R,1440.8722602739726
-1.0,R,1575.5332191780822
-1.0,R,1461.0714041095891
-1.0,R,1517.1801369863015
-1.0,R,1606.954109589041
-1.0,R,1553.0897260273973
-1.0,R,1454.3383561643836
-1.0,R,1431.8948630136986
-1.0,R,1582.2662671232877
-1.0,R,1530.6462328767122
-1.0,R,1523.9131849315067
-1.0,R,1496.980993150685
-1.0,R,1541.867979452055
-1.0,R,1571.0445205479452
-1.0,R,1557.5784246575342
-1.0,R,1557.5784246575342
-1.0,R,1597.9767123287672
-1.0,R,1586.7549657534246
-1.0,R,1573.2888698630136
-1.0,R,1463.3157534246575
-1.0,R,1425.161815068493
-1.0,R,1582.2662671232877
-1.0,R,1597.9767123287672
-1.0,R,1703.4611301369864
-1.0,R,1492.492294520548
-1.0,R,1600.2210616438356
-1.0,R,1535.1349315068494
-1.0,R,1553.0897260273973
-1.0,R,1824.655993150685
-1.0,R,1548.6010273972602
-1.0,R,1548.6010273972602
-1.0,R,1454.3383561643836
-1.0,R,2031.1361301369864
-1.0,R,1779.769006849315
-1.0,R,1510.447089041096
-1.0,R,1555.3340753424657
-1.0,R,1501.469691780822
-1.0,R,1622.6645547945207
-1.0,R,1562.0671232876712
-1.0,R,1557.5784246575342
-1.0,R,1620.420205479452
-1.0,R,1557.5784246575342
-1.0,R,1743.8594178082192
-1.0,R,2001.9595890410958
-1.0,R,1577.7775684931507
-1.0,R,1633.886301369863
-1.0,R,1550.8453767123287
-1.0,R,1553.0897260273973
-1.0,R,1833.633390410959
-1.0,R,1582.2662671232877
-1.0,R,1663.0628424657534
-1.0,R,1651.841095890411
-1.0,R,1636.1306506849314
-1.0,R,1633.886301369863
-1.0,R,1622.6645547945207
-1.0,R,1923.4073630136986
-1.0,R,1615.9315068493152
-1.0,R,1676.5289383561644
-1.0,R,1710.1941780821917
-1.0,R,2471.028595890411
-1.0,R,1858.3212328767124
-1.0,R,1674.2845890410958
-1.0,R,1649.5967465753424
-1.0,R,1656.329794520548
-1.0,R,1663.0628424657534
-1.0,R,1665.307191780822
-1.0,R,1719.1715753424658
-1.0,R,1694.4837328767123
-1.0,R,1638.375
-1.0,R,1786.5020547945205
-1.0,R,1752.8368150684933
-1.0,R,1683.26198630137
-1.0,R,1860.5655821917808
-1.0,R,1766.302910958904
-1.0,R,1672.0402397260275
-1.0,R,1689.9950342465754
-1.0,R,1622.6645547945207
-1.0,R,1692.2393835616438
-1.0,R,1582.2662671232877
-1.0,R,1609.1984589041097
-1.0,R,1656.329794520548
-1.0,R,1575.5332191780822
-1.0,R,1647.352397260274
-1.0,R,1591.2436643835617
-1.0,R,1710.1941780821917
-1.0,R,1636.1306506849314
-1.0,R,1687.7506849315068
-1.0,R,1696.728082191781
-1.0,R,1645.1080479452055
-1.0,R,1710.1941780821917
-1.0,R,1588.9993150684932
-1.0,R,1642.863698630137
-1.0,R,1566.5558219178083
-1.0,R,1984.0047945205479
-1.0,R,1600.2210616438356
-1.0,R,1683.26198630137
-1.0,R,1606.954109589041
-1.0,R,1689.9950342465754
-1.0,R,1663.0628424657534
-1.0,R,1609.1984589041097
-1.0,R,1665.307191780822
-1.0,R,1553.0897260273973
-1.0,R,1591.2436643835617
-1.0,R,1521.6688356164384
-1.0,R,1615.9315068493152
-1.0,R,1685.5063356164383
-1.0,R,1721.4159246575343
-1.0,R,1719.1715753424658
-1.0,R,1689.9950342465754
-1.0,R,1597.9767123287672
-1.0,R,1638.375
-1.0,R,1627.1532534246576
-1.0,R,1642.863698630137
-1.0,R,1757.3255136986302
-1.0,R,1705.7054794520548
-1.0,R,1719.1715753424658
-1.0,R,1672.0402397260275
-1.0,R,1580.021917808219
-1.0,R,1631.6419520547945
-1.0,R,1645.1080479452055
-1.0,R,1730.3933219178082
-1.0,R,1743.8594178082192
-1.0,R,1600.2210616438356
-1.0,R,1663.0628424657534
-1.0,R,1672.0402397260275
-1.0,R,1663.0628424657534
-1.0,R,1737.1263698630137
-1.0,R,1555.3340753424657
-1.0,R,1631.6419520547945
-1.0,R,1633.886301369863
-1.0,R,1667.5515410958903
-1.0,R,1622.6645547945207
-1.0,R,1685.5063356164383
-1.0,R,1564.3114726027397
-1.0,R,1694.4837328767123
-1.0,R,1593.48801369863
-1.0,R,1638.375
-1.0,R,1669.795890410959
-1.0,R,1748.348116438356
-1.0,R,1631.6419520547945
-1.0,R,1627.1532534246576
-1.0,R,1618.1758561643835
-1.0,R,1712.4385273972603
-1.0,R,1687.7506849315068
-1.0,R,1896.4751712328766
-1.0,R,1676.5289383561644
-1.0,R,1672.0402397260275
-1.0,R,1667.5515410958903
-1.0,R,1631.6419520547945
-1.0,R,1681.0176369863013
-1.0,R,1698.9724315068493
-1.0,R,1602.4654109589042
-1.0,R,1636.1306506849314
-1.0,R,1676.5289383561644
-1.0,R,1701.2167808219178
-1.0,R,1746.1037671232878
-1.0,R,1847.0994863013698
-1.0,R,1676.5289383561644
-1.0,R,1761.814212328767
-1.0,R,1689.9950342465754
-1.0,R,1654.0854452054793
-1.0,R,1732.6376712328768
-1.0,R,1764.0585616438357
-1.0,R,1689.9950342465754
-1.0,R,1654.0854452054793
-1.0,R,1703.4611301369864
-1.0,R,1752.8368150684933
-1.0,R,1806.701198630137
-1.0,R,1817.9229452054794
-1.0,R,1739.3707191780823
-1.0,R,1777.5246575342467
-1.0,R,1795.4794520547946
-1.0,R,1766.302910958904
-1.0,R,2067.045719178082
-1.0,R,1705.7054794520548
-1.0,R,1714.6828767123288
-1.0,R,1891.9864726027397
-1.0,R,1856.0768835616439
-1.0,R,1755.0811643835616
-1.0,R,1732.6376712328768
-1.0,R,1808.9455479452056
-1.0,R,1743.8594178082192
-1.0,R,1784.257705479452
-1.0,R,1797.723801369863
-1.0,R,1842.6107876712329
-1.0,R,1741.6150684931506
-1.0,R,1746.1037671232878
-1.0,R,1782.0133561643836
-1.0,R,1860.5655821917808
-1.0,R,1820.167294520548
-1.0,R,1741.6150684931506
-1.0,R,1865.0542808219177
-1.0,R,1862.8099315068494
-1.0,R,1757.3255136986302
-1.0,R,1811.189897260274
-1.0,R,1905.4525684931507
-1.0,R,1842.6107876712329
-1.0,R,1752.8368150684933
-1.0,R,1811.189897260274
-1.0,R,1714.6828767123288
-1.0,R,1883.0090753424658
-1.0,R,1822.4116438356164
-1.0,R,1831.3890410958904
-1.0,R,1795.4794520547946
-1.0,R,1701.2167808219178
-1.0,R,1793.235102739726
-1.0,R,1851.588184931507
-1.0,R,2015.4256849315068
-1.0,R,1856.0768835616439
-1.0,R,1815.6785958904109
-1.0,R,1959.3169520547945
-1.0,R,2910.9210616438354
-1.0,R,1921.16301369863
-1.0,R,1844.8551369863014
-1.0,R,1750.5924657534247
-1.0,R,2035.6248287671233
-1.0,R,1842.6107876712329
-1.0,R,2001.9595890410958
-1.0,R,1719.1715753424658
-1.0,R,1824.655993150685
-1.0,R,1840.3664383561643
-1.0,R,1786.5020547945205
-1.0,R,1815.6785958904109
-1.0,R,1698.9724315068493
-1.0,R,1847.0994863013698
-1.0,R,1797.723801369863
-1.0,R,1889.7421232876711
-1.0,R,1685.5063356164383
-1.0,R,1768.5472602739726
-1.0,R,1759.5698630136985
-1.0,R,1651.841095890411
-1.0,R,1707.9498287671233
-1.0,R,1705.7054794520548
-1.0,R,1710.1941780821917
-1.0,R,2105.1996575342464
-1.0,R,1959.3169520547945
-1.0,R,1712.4385273972603
-1.0,R,1775.280308219178
-1.0,R,1797.723801369863
-1.0,R,1790.9907534246574
-1.0,R,1752.8368150684933
-1.0,R,1741.6150684931506
-1.0,R,1768.5472602739726
-1.0,R,1665.307191780822
-1.0,R,1716.9272260273972
-1.0,R,1672.0402397260275
-1.0,R,1633.886301369863
-1.0,R,1694.4837328767123
-1.0,R,1654.0854452054793
-1.0,R,1645.1080479452055
-1.0,R,1689.9950342465754
-1.0,R,1595.7323630136987
-1.0,R,1770.7916095890412
-1.0,R,1611.442808219178
-1.0,R,1629.397602739726
-1.0,R,1672.0402397260275
-1.0,R,1728.1489726027398
-1.0,R,1633.886301369863
-1.0,R,1631.6419520547945
-1.0,R,1631.6419520547945
-1.0,R,1685.5063356164383
-1.0,R,1692.2393835616438
-1.0,R,1683.26198630137
-1.0,R,1746.1037671232878
-1.0,R,1676.5289383561644
-1.0,R,1696.728082191781
-1.0,R,1683.26198630137
-1.0,R,1638.375
-1.0,R,1535.1349315068494
-1.0,R,1580.021917808219
-1.0,R,1703.4611301369864
-1.0,R,1620.420205479452
-1.0,R,1654.0854452054793
-1.0,R,1580.021917808219
-1.0,R,1645.1080479452055
-1.0,R,1658.5741438356165
-1.0,R,1548.6010273972602
-1.0,R,1615.9315068493152
-1.0,R,1597.9767123287672
-1.0,R,1519.4244863013698
-1.0,R,1584.5106164383562
-1.0,R,1472.2931506849316
-1.0,R,1752.8368150684933
-1.0,R,1618.1758561643835
-1.0,R,1636.1306506849314
-1.0,R,1586.7549657534246
-1.0,R,1642.863698630137
-1.0,R,1530.6462328767122
-1.0,R,1660.8184931506848
-1.0,R,1649.5967465753424
-1.0,R,1523.9131849315067
-1.0,R,1642.863698630137
-1.0,R,1676.5289383561644
-1.0,R,1627.1532534246576
-1.0,R,1678.7732876712328
-1.0,R,1559.8227739726028
-1.0,R,1481.2705479452054
-1.0,R,1562.0671232876712
-1.0,R,1591.2436643835617
-1.0,R,1474.5375
-1.0,R,1582.2662671232877
-1.0,R,1546.3566780821918
-1.0,R,1604.7097602739725
-1.0,R,1633.886301369863
-1.0,R,1537.3792808219177
-1.0,R,1550.8453767123287
-1.0,R,1532.8905821917808
-1.0,R,1559.8227739726028
-1.0,R,1555.3340753424657
-1.0,R,1443.116609589041
-1.0,R,1519.4244863013698
-1.0,R,1597.9767123287672
-1.0,R,1580.021917808219
-1.0,R,1681.0176369863013
-1.0,R,1494.7366438356164
-1.0,R,1575.5332191780822
-1.0,R,1548.6010273972602
-1.0,R,1505.9583904109588
-1.0,R,1615.9315068493152
-1.0,R,1501.469691780822
-1.0,R,1609.1984589041097
-1.0,R,1790.9907534246574
-1.0,R,1526.1575342465753
-1.0,R,1499.2253424657533
-1.0,R,1523.9131849315067
-1.0,R,1553.0897260273973
-1.0,R,1492.492294520548
-1.0,R,1685.5063356164383
-1.0,R,1539.6236301369863
-1.0,R,1555.3340753424657
-1.0,R,1510.447089041096
-1.0,R,1508.2027397260274
-1.0,R,1465.560102739726
-1.0,R,1636.1306506849314
-1.0,R,1584.5106164383562
-1.0,R,1550.8453767123287
-1.0,R,1474.5375
-1.0,R,1488.003595890411
-1.0,R,1465.560102739726
-1.0,R,1559.8227739726028
-1.0,R,1505.9583904109588
-1.0,R,1488.003595890411
-1.0,R,1461.0714041095891
-1.0,R,1544.1123287671232
-1.0,R,1472.2931506849316
-1.0,R,1562.0671232876712
-1.0,R,1490.2479452054795
-1.0,R,1465.560102739726
-1.0,R,1532.8905821917808
-1.0,R,1530.6462328767122
-1.0,R,1496.980993150685
-1.0,R,1566.5558219178083
-1.0,R,1613.6871575342466
-1.0,R,1535.1349315068494
-1.0,R,1514.935787671233
-1.0,R,2235.371917808219
-1.0,R,1548.6010273972602
-1.0,R,2246.5936643835616
-1.0,R,1597.9767123287672
-1.0,R,1550.8453767123287
-1.0,R,1557.5784246575342
-1.0,R,1496.980993150685
-1.0,R,1539.6236301369863
-1.0,R,1530.6462328767122
-1.0,R,1474.5375
-1.0,R,1532.8905821917808
-1.0,R,1481.2705479452054
-1.0,R,1526.1575342465753
-1.0,R,1535.1349315068494
-1.0,R,1472.2931506849316
-1.0,R,1546.3566780821918
-1.0,R,1517.1801369863015
-1.0,R,1470.048801369863
-1.0,R,1519.4244863013698
-1.0,R,1490.2479452054795
-1.0,R,1535.1349315068494
-1.0,R,1505.9583904109588
-1.0,R,1510.447089041096
-1.0,R,1526.1575342465753
-1.0,R,1463.3157534246575
-1.0,R,1992.982191780822
-1.0,R,1510.447089041096
-1.0,R,1523.9131849315067
-1.0,R,1564.3114726027397
-1.0,R,1582.2662671232877
-1.0,R,1555.3340753424657
-1.0,R,1461.0714041095891
-1.0,R,1539.6236301369863
-1.0,R,1638.375
-1.0,R,1508.2027397260274
-1.0,R,1651.841095890411
-1.0,R,1476.7818493150685
-1.0,R,1483.514897260274
-1.0,R,1517.1801369863015
-1.0,R,1537.3792808219177
-1.0,R,1562.0671232876712
-1.0,R,1519.4244863013698
-1.0,R,1550.8453767123287
-1.0,R,1454.3383561643836
-1.0,R,1505.9583904109588
-1.0,R,1465.560102739726
-1.0,R,1658.5741438356165
-1.0,R,1566.5558219178083
-1.0,R,1490.2479452054795
-1.0,R,1490.2479452054795
-1.0,R,1597.9767123287672
-1.0,R,1606.954109589041
-1.0,R,1481.2705479452054
-1.0,R,1580.021917808219
-1.0,R,2554.069520547945
-1.0,R,1674.2845890410958
-1.0,R,1537.3792808219177
-1.0,R,1521.6688356164384
-1.0,R,1510.447089041096
-1.0,R,1573.2888698630136
-1.0,R,1595.7323630136987
-1.0,R,1479.026198630137
-1.0,R,1586.7549657534246
-1.0,R,1537.3792808219177
-1.0,R,1481.2705479452054
-1.0,R,1470.048801369863
-1.0,R,1505.9583904109588
-1.0,R,1566.5558219178083
-1.0,R,1638.375
-1.0,R,1550.8453767123287
-1.0,R,1485.7592465753426
-1.0,R,1629.397602739726
-1.0,R,1782.0133561643836
-1.0,R,1510.447089041096
-1.0,R,1665.307191780822
-1.0,R,1566.5558219178083
-1.0,R,1541.867979452055
-1.0,R,1849.3438356164384
-1.0,R,1548.6010273972602
-1.0,R,1528.401883561644
-1.0,R,1568.8001712328767
-1.0,R,1479.026198630137
-1.0,R,1550.8453767123287
-1.0,R,2033.3804794520547
-1.0,R,1550.8453767123287
-1.0,R,1532.8905821917808
-1.0,R,1591.2436643835617
-1.0,R,1568.8001712328767
-1.0,R,4089.2044520547947
-1.0,R,1638.375
-1.0,R,1667.5515410958903
-1.0,R,1474.5375
-1.0,R,1559.8227739726028
-1.0,R,1510.447089041096
-1.0,R,1425.161815068493
-1.0,R,1562.0671232876712
-1.0,R,1503.7140410958905
-1.0,R,1602.4654109589042
-1.0,R,1366.8087328767124
-1.0,R,1568.8001712328767
-1.0,R,1544.1123287671232
-1.0,R,1548.6010273972602
-1.0,R,1526.1575342465753
-1.0,R,1582.2662671232877
-1.0,R,1562.0671232876712
-1.0,R,1510.447089041096
-1.0,R,1510.447089041096
-1.0,R,1716.9272260273972
-1.0,R,1633.886301369863
-1.0,R,1526.1575342465753
-1.0,R,1544.1123287671232
-1.0,R,1499.2253424657533
-1.0,R,1624.908904109589
-1.0,R,1548.6010273972602
-1.0,R,1474.5375
-1.0,R,1604.7097602739725
-1.0,R,1503.7140410958905
-1.0,R,1689.9950342465754
-1.0,R,1660.8184931506848
-1.0,R,1510.447089041096
-1.0,R,1550.8453767123287
-1.0,R,1496.980993150685
-1.0,R,1562.0671232876712
-1.0,R,1649.5967465753424
-1.0,R,1604.7097602739725
-1.0,R,1602.4654109589042
-1.0,R,1571.0445205479452
-1.0,R,1593.48801369863
-1.0,R,2134.376198630137
-1.0,R,1784.257705479452
-1.0,R,1672.0402397260275
-1.0,R,1797.723801369863
-1.0,R,1656.329794520548
-1.0,R,1604.7097602739725
-1.0,R,1566.5558219178083
-1.0,R,1667.5515410958903
-1.0,R,1624.908904109589
-1.0,R,1584.5106164383562
-1.0,R,1761.814212328767
-1.0,R,1674.2845890410958
-1.0,R,1714.6828767123288
-1.0,R,1705.7054794520548
-1.0,R,1746.1037671232878
-1.0,R,1692.2393835616438
-1.0,R,1737.1263698630137
-1.0,R,1759.5698630136985
-1.0,R,1784.257705479452
-1.0,R,1687.7506849315068
-1.0,R,1716.9272260273972
-1.0,R,1820.167294520548
-1.0,R,1820.167294520548
-1.0,R,2026.6474315068492
-1.0,R,1797.723801369863
-1.0,R,1669.795890410959
-1.0,R,1707.9498287671233
-1.0,R,1725.9046232876713
-1.0,R,1945.8508561643835
-1.0,R,1790.9907534246574
-1.0,R,1900.9638698630138
-1.0,R,1932.3847602739727
-1.0,R,1856.0768835616439
-1.0,R,2107.444006849315
-1.0,R,1869.5429794520549
-1.0,R,1838.122089041096
-1.0,R,1824.655993150685
-1.0,R,1914.4299657534248
-1.0,R,1775.280308219178
-1.0,R,2471.028595890411
-1.0,R,2071.534417808219
-1.0,R,1968.2943493150685
-1.0,R,1959.3169520547945
-1.0,R,1977.2717465753424
-1.0,R,2067.045719178082
-1.0,R,1981.7604452054795
-1.0,R,2080.511815068493
-1.0,R,2150.0866438356165
-1.0,R,2006.448287671233
-1.0,R,2044.6022260273974
-1.0,R,1954.8282534246575
-1.0,R,2132.1318493150684
-1.0,R,1968.2943493150685
-1.0,R,1898.7195205479452
-1.0,R,2006.448287671233
-1.0,R,1963.8056506849316
-1.0,R,1952.583904109589
-1.0,R,1871.7873287671232
-1.0,R,1851.588184931507
-1.0,R,1739.3707191780823
-1.0,R,1865.0542808219177
-1.0,R,1959.3169520547945
-1.0,R,1813.4342465753425
-1.0,R,1923.4073630136986
-1.0,R,1835.8777397260274
-1.0,R,1871.7873287671232
-1.0,R,1811.189897260274
-1.0,R,1759.5698630136985
-1.0,R,1703.4611301369864
-1.0,R,1732.6376712328768
-1.0,R,1692.2393835616438
-1.0,R,1719.1715753424658
-1.0,R,1633.886301369863
-1.0,R,1624.908904109589
-1.0,R,1658.5741438356165
-1.0,R,1672.0402397260275
-1.0,R,1739.3707191780823
-1.0,R,1606.954109589041
-1.0,R,1568.8001712328767
-1.0,R,1609.1984589041097
-1.0,R,1624.908904109589
-1.0,R,1488.003595890411
-1.0,R,1510.447089041096
-1.0,R,1654.0854452054793
-1.0,R,1629.397602739726
-1.0,R,1501.469691780822
-1.0,R,1645.1080479452055
-1.0,R,1633.886301369863
-1.0,R,1701.2167808219178
-1.0,R,1577.7775684931507
-1.0,R,1627.1532534246576
-1.0,R,1541.867979452055
-1.0,R,1481.2705479452054
-1.0,R,1512.6914383561643
-1.0,R,1436.3835616438357
-1.0,R,1732.6376712328768
-1.0,R,1514.935787671233
-1.0,R,1510.447089041096
-1.0,R,1580.021917808219
-1.0,R,1496.980993150685
-1.0,R,1512.6914383561643
-1.0,R,1629.397602739726
-1.0,R,1494.7366438356164
-1.0,R,1483.514897260274
-1.0,R,1440.8722602739726
-1.0,R,1503.7140410958905
-1.0,R,1492.492294520548
-1.0,R,1488.003595890411
-1.0,R,1559.8227739726028
-1.0,R,1532.8905821917808
-1.0,R,1474.5375
-1.0,R,1456.582705479452
-1.0,R,1508.2027397260274
-1.0,R,1488.003595890411
-1.0,R,1550.8453767123287
-1.0,R,1591.2436643835617
-1.0,R,1535.1349315068494
-1.0,R,1557.5784246575342
-1.0,R,1512.6914383561643
-1.0,R,1436.3835616438357
-1.0,R,1472.2931506849316
-1.0,R,1481.2705479452054
-1.0,R,1546.3566780821918
-1.0,R,1490.2479452054795
-1.0,R,1488.003595890411
-1.0,R,1672.0402397260275
-1.0,R,1512.6914383561643
-1.0,R,1530.6462328767122
-1.0,R,1847.0994863013698
-1.0,R,1499.2253424657533
-1.0,R,1512.6914383561643
-1.0,R,1429.6505136986302
-1.0,R,1431.8948630136986
-1.0,R,1510.447089041096
-1.0,R,1436.3835616438357
-1.0,R,1685.5063356164383
-1.0,R,1526.1575342465753
-1.0,R,1420.6731164383561
-1.0,R,1642.863698630137
-1.0,R,1523.9131849315067
-1.0,R,1501.469691780822
