ts	event_type	SID	ECID	session	game_type	game_number	episode_number	level	score	lines_cleared	completed	game_duration	avg_ep_duration	zoid_sequence	evt_id	evt_data1	evt_data2	curr_zoid	next_zoid	danger_mode	evt_sequence	rots	trans	path_length	min_rots	min_trans	min_path	min_rots_diff	min_trans_diff	min_path_diff	u_drops	s_drops	prop_u_drops	initial_lat	drop_lat	avg_lat	tetrises_game	tetrises_level	agree	delaying	dropping	zoid_rot	zoid_col	zoid_row	board_rep	zoid_rep	all_diffs	all_ht	all_trans	cd_1	cd_2	cd_3	cd_4	cd_5	cd_6	cd_7	cd_8	cd_9	cleared	col_trans	column_9	cuml_cleared	cuml_eroded	cuml_wells	d_all_ht	d_max_ht	d_mean_ht	d_pits	deep_wells	eroded_cells	full_cells	jaggedness	landing_height	lumped_pits	matches	max_diffs	max_ht	max_ht_diff	max_well	mean_ht	mean_pit_depth	min_ht	min_ht_diff	move_score	nine_filled	pattern_div	pit_depth	pit_rows	pits	row_trans	tetris	tetris_progress	weighted_cells	wells
0.3188350200653076	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					zoid_slam		setup	L	T	False																				False	0	0	3	20																																																		
0.3189096450805664	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					keep_zoid		setup	L	T	False																				False	0	0	3	20																																																		
0.3189845085144043	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					wall_kicking		setup	L	T	False																				False	0	0	3	20																																																		
0.3190596103668213	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					feedback_mode		setup	L	T	False																				False	0	0	3	20																																																		
0.3191342353820801	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					dimtris		setup	L	T	False																				False	0	0	3	20																																																		
0.3192107677459717	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					dimtris_alphas	[255, 225, 200, 175, 150, 125, 100, 75, 50, 25, 0]	setup	L	T	False																				False	0	0	3	20																																																		
0.3193185329437256	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					gridlines_x		setup	L	T	False																				False	0	0	3	20																																																		
0.3193974494934082	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					gridlines_y		setup	L	T	False																				False	0	0	3	20																																																		
0.3194739818572998	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					gridlines_color	(50, 50, 50)	setup	L	T	False																				False	0	0	3	20																																																		
0.3195505142211914	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					grace_period		setup	L	T	False																				False	0	0	3	20																																																		
0.3196263313293457	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					grace_refresh		setup	L	T	False																				False	0	0	3	20																																																		
0.3197011947631836	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					pause_enabled	True	setup	L	T	False																				False	0	0	3	20																																																		
0.3197765350341797	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					das_chargeable	True	setup	L	T	False																				False	0	0	3	20																																																		
0.3198518753051758	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					das_reversible	True	setup	L	T	False																				False	0	0	3	20																																																		
0.31992650032043457	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					bg_color	(0, 0, 0)	setup	L	T	False																				False	0	0	3	20																																																		
0.3200037479400635	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					border_color	(250, 250, 250)	setup	L	T	False																				False	0	0	3	20																																																		
0.3200802803039551	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					kept_bgc	(50, 50, 50)	setup	L	T	False																				False	0	0	3	20																																																		
0.3201594352722168	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					continues		setup	L	T	False																				False	0	0	3	20																																																		
0.3202354907989502	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					game_ht	20	setup	L	T	False																				False	0	0	3	20																																																		
0.32033705711364746	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					game_wd	10	setup	L	T	False																				False	0	0	3	20																																																		
0.32041263580322266	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					fullscreen		setup	L	T	False																				False	0	0	3	20																																																		
0.32048821449279785	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					fps	30	setup	L	T	False																				False	0	0	3	20																																																		
